levelName,carW,carH,totalSeatCount,genSeatCount,genColorCount,seatArray
level_119,6,9,54,40,6,
level_120,6,9,54,40,6,
level_121,6,9,54,40,6,
level_122,6,9,54,40,6,
level_123,6,9,54,40,6,
level_124,6,9,54,40,6,
level_125,6,9,54,40,6,
level_126,6,9,54,40,6,
level_127,6,10,60,45,6,
level_128,6,10,60,45,6,
level_129,6,10,60,45,6,
level_130,6,10,60,45,6,
level_131,6,10,60,45,6,
level_132,6,10,60,45,6,
level_133,6,10,60,45,6,
level_134,6,10,60,45,6,
level_135,6,10,60,45,6,
level_136,6,10,60,46,6,
level_137,6,10,60,46,6,
level_138,6,10,60,46,6,
level_139,6,10,60,46,6,
level_140,6,10,60,46,6,
level_141,6,10,60,46,6,
level_142,6,10,60,46,6,
level_143,6,10,60,46,6,
level_144,6,10,60,46,6,
level_145,6,10,60,46,6,
level_146,6,10,60,46,6,
level_147,6,10,60,46,6,
level_148,6,10,60,47,6,
level_149,6,10,60,47,6,
level_150,6,10,60,47,6,
level_151,6,10,60,47,6,
level_152,6,10,60,47,6,
level_153,6,10,60,47,6,
level_154,6,10,60,47,6,
level_155,6,10,60,47,6,
level_156,6,10,60,47,6,
level_157,6,10,60,46,7,
level_158,6,10,60,46,7,
level_159,6,10,60,46,7,
level_160,6,10,60,46,7,
level_161,6,10,60,46,7,
level_162,6,10,60,46,7,
level_163,6,10,60,46,7,
level_164,6,10,60,46,7,
level_165,6,10,60,46,7,
level_166,6,10,60,46,7,
level_167,6,10,60,46,7,
level_168,6,10,60,46,7,
level_169,7,10,70,50,7,
level_170,7,10,70,50,7,
level_171,7,10,70,50,7,
level_172,7,10,70,50,7,
level_173,7,10,70,50,7,
level_174,7,10,70,50,7,
level_175,7,10,70,50,7,
level_176,7,10,70,50,7,
level_177,7,10,70,50,7,
level_178,7,10,70,50,7,
level_179,8,11,71,51,8,
level_180,8,10,80,55,8,
level_181,8,10,80,55,8,
level_182,8,10,80,55,8,
level_183,8,10,80,55,8,
level_184,8,10,80,55,8,
level_185,8,10,80,60,8,
level_186,8,10,80,60,8,
level_187,8,10,80,60,8,
level_188,8,10,80,60,8,
level_189,8,10,80,60,8,
level_190,8,10,80,56,8,
level_191,8,10,80,56,8,
level_192,8,10,80,56,8,
level_193,8,10,80,56,8,
level_194,8,10,80,56,8,
level_195,8,10,80,61,8,
level_196,8,10,80,61,8,
level_197,8,10,80,61,8,
level_198,8,10,80,61,8,
level_199,8,10,80,61,8,
level_200,8,10,80,57,8,
